Wall ID,Height,Foundation Height,Out of Plane,Structural Cracking,Cap Deterioration,Cracking Junction,Sill 1,Sill 2,Coat 1 Cracking,Coat 1 Loss,Coat 2 Cracking,Coat 2 Loss,Lintel Deterioration,Surface Loss Top,Surface Loss Mid,Surface Loss Low,Foundation Displacement 1,Foundation Displacement 2,Foundation Mortar 1,Foundation Mortar 2,Foundation Stone Det,Treatment,Bracing,Bracing Score,Animal Activity,Fireplace,Point Cloud Mean,Point Cloud Deviation,Total Scr
Wall_001,3,15,2,4,2,0,2,2,2,3,1,1,1,0,3,1,2,3,5,5,2,0,1,4,1,0,-1.0202520979005516,0.5900332806599803,52.043541550432984
Wall_002,5,18,2,2,2,0,5,5,4,2,3,2,5,0,3,3,2,2,1,1,2,0,1,2,0,0,1.0269054739397105,0.060091885684090116,68.94554515929701
Wall_003,4,8,2,2,3,2,1,1,2,3,2,1,2,4,1,5,1,1,3,3,1,0,1,3,0,0,-0.46700847815250573,0.4761784725772672,55.40181139951747
Wall_004,3,5,4,4,1,2,3,3,0,0,0,1,1,5,1,2,2,0,1,1,1,0,1,2,0,2,0.8401779198141726,0.009599214668743097,51.04435868843207
Wall_005,2,2,0,0,4,1,1,1,0,0,1,2,1,3,2,0,1,0,3,2,3,1,0,0,0,0,4.892936334099096,5.749456440230286,32.96452590126831
Wall_006,2,21,1,2,2,1,1,1,2,2,3,1,2,5,1,5,3,2,4,3,2,1,0,0,1,1,-0.06707960927264928,5.060980878712716,50.1900883747364
Wall_007,1,22,0,2,5,0,4,4,0,1,3,1,1,5,1,4,2,2,3,2,5,0,0,0,1,0,-1.2845965421069296,0.7541753159080347,57.58474821035594
Wall_008,4,4,4,1,1,3,3,3,2,1,4,3,1,2,2,1,0,1,3,2,2,0,1,4,0,2,-2.8683049191208503,1.9549763671225282,52.97565227164792
Wall_009,3,3,5,2,2,2,2,2,2,1,1,2,1,3,0,4,2,1,2,3,3,0,1,2,0,1,-0.7810544787376227,0.636527228785711,56.82866926288534
Wall_010,4,9,2,3,1,0,0,0,0,0,0,2,0,2,3,1,0,3,4,4,0,0,0,0,1,0,0.40144337403910296,1.6679710808234072,31.056715545369585
Wall_011,1,26,0,1,2,2,3,3,0,1,1,2,0,5,1,3,2,2,4,3,4,0,1,5,1,0,0.13326855149690095,2.4554452571030136,41.58396739090426
Wall_012,5,12,4,4,1,0,1,1,2,1,0,3,2,2,0,1,0,1,1,0,0,0,1,3,1,1,4.308663350167757,4.3993121287277965,51.26158559910512
Wall_013,4,7,2,4,5,1,3,3,4,4,3,2,3,1,5,4,2,1,2,2,4,0,0,0,1,0,1.2477139136648567,0.766769219172473,73.93602356135672
Wall_014,2,9,4,5,5,0,0,0,0,2,0,2,1,4,1,3,1,0,2,2,1,0,1,3,1,0,-0.33700217876802463,2.2938480937222754,56.90035588675639
Wall_015,2,2,4,2,3,0,1,1,3,2,1,3,3,4,1,5,0,1,2,2,2,0,1,4,0,0,-1.766401447083682,0.4637231646232891,56.522912358312055
Wall_016,2,20,4,3,5,1,5,5,3,4,3,2,1,4,0,2,4,2,2,1,4,1,1,3,0,1,0.666681909458301,6.958447858844382,74.73744836907811
Wall_017,2,6,0,0,2,1,3,3,1,2,2,2,1,3,1,2,3,0,2,1,1,0,0,0,1,1,-2.267520395956648,0.03916117760530979,30.225146723554857
Wall_018,3,2,0,0,1,0,4,4,2,1,2,1,2,3,2,1,1,0,4,4,0,1,0,0,1,0,0.44957769884476617,1.3877278387559184,35.818816943665944
Wall_019,3,8,1,4,1,1,2,2,2,3,0,1,1,1,0,2,0,0,1,1,2,0,0,0,0,0,1.2185348172621087,1.6160365812072177,42.75728165649647
Wall_020,2,7,1,2,3,3,1,1,1,2,1,3,1,3,1,3,0,1,1,0,2,0,1,4,0,0,-0.5411305569286188,1.7473471771459508,41.97636894772995
Wall_021,3,14,1,2,3,0,1,1,2,2,2,5,2,5,4,3,1,3,1,0,2,0,0,0,2,0,-1.5757161101628543,0.19241084845500928,51.38699322356853
Wall_022,2,21,0,2,5,2,0,0,1,2,1,2,1,2,1,1,2,2,2,1,1,0,0,0,0,2,-5.463242118337265,4.183803758383549,39.161808390341406
Wall_023,2,24,1,4,4,0,0,0,0,0,1,3,1,1,2,2,2,2,1,1,4,1,1,2,1,0,2.859591816050977,0.2998425061745486,47.88181937956202
Wall_024,3,11,2,5,3,0,2,2,2,4,1,1,4,2,4,1,5,0,1,2,5,1,0,0,0,0,1.0082509756132039,1.4622843038310567,65.06079926167371
Wall_025,3,8,1,4,2,0,3,3,1,2,3,4,0,4,1,4,0,3,3,3,1,0,1,5,3,0,1.0690432039619557,0.37784719335312394,50.19127466353403
Wall_026,4,7,0,3,1,0,3,3,2,5,2,1,1,1,1,1,0,2,2,1,2,1,0,0,0,1,-3.9033808394432494,0.5505564279583761,38.84634238649656
Wall_027,2,0,2,2,4,2,2,2,0,1,0,0,0,0,2,4,0,0,1,1,2,0,1,2,0,0,3.449596749350143,1.1860028927171593,41.720152586881106
Wall_028,3,12,3,3,2,2,3,3,1,1,2,2,0,5,0,0,0,1,1,1,5,0,1,1,1,0,-1.1630421665452004,0.8098498679089376,57.21610697984026
Wall_029,3,13,1,0,1,2,0,0,2,4,1,3,2,4,1,3,3,0,3,3,1,0,0,0,1,0,-0.7219882567487155,0.2619329937119007,32.45675265997023
Wall_030,1,8,0,4,1,2,2,2,3,1,1,2,1,4,2,1,0,1,0,0,2,0,0,0,2,0,-2.6732171385470633,0.28118761615663235,38.06806614410528
Wall_031,3,4,0,2,3,1,0,0,1,0,0,1,1,2,0,2,2,0,2,3,1,1,1,4,0,0,-4.46736432834962,0.812300458669253,30.508507878606444
Wall_032,2,25,3,5,5,2,5,5,0,0,0,2,1,0,2,5,3,1,3,2,2,0,1,4,0,0,2.8933657793089167,2.123788550810594,70.76649238336994
Wall_033,1,9,0,2,5,4,1,1,5,3,3,4,4,4,0,2,0,2,0,0,2,0,0,0,0,0,3.2164934234940605,3.4236538893271846,51.81573616010684
Wall_034,5,1,4,1,3,0,1,1,2,3,1,2,1,3,1,1,1,2,3,2,0,1,0,0,0,2,-0.4138203783833183,0.1318174399494141,50.40205582768695
Wall_035,5,10,5,5,3,1,2,2,1,1,3,0,1,4,2,1,2,2,2,2,4,0,1,3,0,1,-1.698461424515875,0.7490965270750011,74.19556596214655
Wall_036,4,7,1,5,2,1,1,1,2,2,0,3,2,2,0,2,0,0,3,2,2,1,0,0,2,2,-0.9426104228356456,0.15845010220311997,46.845129525293935
Wall_037,2,14,0,1,4,0,4,5,0,4,0,1,0,1,3,1,1,3,2,1,3,0,0,0,0,0,-0.8740374750888742,0.025097516606424793,38.36642961876865
Wall_038,1,8,0,0,5,3,1,1,1,2,3,1,1,1,1,2,0,1,2,1,1,0,0,0,1,2,-2.9996493054489957,1.6258161446979593,33.197195706228726
Wall_039,3,12,0,5,2,1,2,2,0,1,0,2,2,3,2,1,1,0,3,3,1,1,1,1,0,0,-0.7306380386096006,1.3836497444318288,46.75062491695596
Wall_040,3,9,0,1,3,1,2,2,4,5,2,1,3,2,0,2,0,1,2,2,3,0,0,0,0,0,0.38275498233581345,0.2669310672786557,49.08125617688791
Wall_041,2,5,2,2,5,1,3,3,2,2,5,2,2,5,0,0,2,1,3,2,2,0,0,0,0,0,2.5453931191218797,0.3994931938019185,62.606844224056076
Wall_042,3,17,2,4,3,3,2,2,1,2,1,3,2,0,1,1,2,1,2,2,2,0,0,0,0,0,0.035610410034280074,0.03598995697321298,51.894285091867864
Wall_043,1,25,1,5,5,0,2,2,0,1,2,1,1,2,0,5,2,2,0,0,1,0,0,0,1,0,-3.9408792722485897,2.702234836156702,52.442660342939256
Wall_044,5,25,2,4,1,0,5,5,2,4,2,2,2,4,2,4,2,1,1,0,2,0,1,3,0,0,0.8838696579966919,5.514868881938131,69.88842155134489
Wall_045,2,6,1,0,2,4,0,0,1,4,1,2,2,2,1,2,2,0,3,2,2,1,1,3,0,0,-0.639826404174384,0.2183357544404863,29.039601741765075
Wall_046,3,18,2,1,5,0,2,2,4,2,5,1,2,2,3,2,2,1,2,1,0,0,0,0,0,0,3.426024234959666,0.3949236956675621,64.26114980807809
Wall_047,2,29,0,4,3,2,1,1,4,4,4,2,2,5,4,2,2,2,3,4,5,1,0,0,1,0,3.573644505110019,3.042090949690826,61.656422707147385
Wall_048,3,18,1,2,2,1,1,1,2,1,2,1,1,4,1,5,2,3,1,1,5,0,0,0,1,0,3.6611357806682494,3.914966173814873,53.28739537877822
Wall_049,3,15,3,3,5,0,3,3,2,1,3,3,1,4,1,0,1,4,2,1,0,0,1,3,2,0,-1.4039698384331987,0.8161274074253689,65.23590774021753
Wall_050,2,3,3,4,2,1,3,3,5,1,4,2,5,1,3,2,4,0,0,0,0,0,0,0,0,1,4.974637683343893,0.07792311467188501,68.60924040343218
Wall_051,5,15,4,5,5,1,0,1,0,1,3,3,0,4,1,3,2,1,1,1,5,0,1,5,0,1,0.8773562622392672,0.06028303279628125,75.130626814741
Wall_052,4,8,0,2,3,1,0,0,5,3,5,3,5,3,1,1,5,2,1,2,0,1,0,0,0,0,4.065951014171582,1.279797381529685,55.42464431916032
Wall_053,5,7,1,3,5,2,3,3,2,4,1,1,3,2,0,2,1,1,0,0,1,0,0,0,1,0,-1.2565490345793993,0.7485805505532916,66.01330367307769
Wall_054,4,14,0,2,5,2,0,0,5,3,5,3,4,0,1,4,1,4,4,3,0,1,0,0,0,0,-0.7464918440240662,0.04360638251941065,57.86471664613261
Wall_055,3,24,1,1,3,2,1,1,0,1,0,1,0,1,2,4,3,3,5,5,4,1,0,0,3,1,0.6850683816802137,1.3129117466546485,37.329919504935276
Wall_056,5,45,3,3,5,0,2,2,0,0,3,1,3,3,1,4,5,5,4,4,4,1,0,0,1,0,0.3796940240348494,0.01705034349362735,74.88997993218446
Wall_057,1,2,1,1,3,1,2,2,1,1,1,1,1,2,2,1,2,3,3,2,3,0,1,2,0,0,3.137029858672924,2.322316383288277,38.72542405772266
Wall_058,2,22,4,3,3,0,0,0,1,3,1,2,1,1,3,4,2,1,1,1,5,1,1,3,0,0,-0.5803232963711359,0.5488607653083484,53.43369958388283
Wall_059,1,15,0,3,4,2,4,4,1,0,1,1,2,0,2,2,1,2,4,2,5,1,0,0,0,0,2.911537475775891,0.06163617566320112,50.80536189412416
Wall_060,2,22,2,2,3,1,1,1,3,1,0,2,1,1,1,2,3,3,2,2,3,1,1,4,0,0,1.8305862678316334,1.3313808008572021,47.27462637407791
Wall_061,3,11,4,1,1,0,0,0,0,0,0,2,1,1,2,0,2,1,3,3,3,1,0,0,1,1,-0.5334805465178714,0.7604606137748418,35.120351073659826
Wall_062,2,18,1,2,4,3,2,2,1,2,4,1,0,3,5,0,1,2,2,2,5,0,0,0,1,0,1.6366915437057834,5.463017467994975,55.15088972836834
Wall_063,4,11,3,2,2,1,1,1,2,3,2,1,1,2,1,2,0,3,0,0,3,0,0,0,0,0,-1.183162617082622,1.1785473416728918,50.9945797116017
